InputNet,MatchedNet,Design,SimilarityScore,Width,Height,PinCount
NET_TEST_1,NET_FMHB,Design_1,0.0412,1243.7138,779.9441,7.2
NET_TEST_1,NET_O8H0,Design_7,0.037,1210.0943,791.4625,8.2
NET_TEST_1,NET_DSWU,Design_8,0.0288,1203.4574,785.8266,16.3
NET_TEST_1,NET_MODF,Design_10,0.0256,1232.212,762.3652,19.8
NET_TEST_1,NET_FCGL,Design_2,0.0244,1210.3663,832.2861,14.6
NET_TEST_1,NET_VQ9A,Design_9,0.0203,1266.1718,764.1328,17.5
NET_TEST_1,NET_9UJ6,Design_2,0.0182,1221.1135,852.0127,7.6
NET_TEST_1,NET_XJPY,Design_3,0.0176,1287.3455,812.5056,3.6
NET_TEST_1,NET_EF0P,Design_3,0.0157,1256.5806,741.5671,15.6
NET_TEST_1,NET_ABFO,Design_5,0.0147,1299.0391,815.8853,14.1
NET_TEST_1,NET_MVEH,Design_4,0.0145,1301.0098,790.7316,18.0
NET_TEST_1,NET_NJ4H,Design_6,0.0142,1265.5698,861.2204,4.6
NET_TEST_1,NET_QJTY,Design_5,0.0139,1292.405,760.5059,5.7
NET_TEST_1,NET_FVK3,Design_3,0.0133,1303.7986,825.656,14.8
NET_TEST_1,NET_3YO9,Design_9,0.0131,1173.0904,844.3636,17.0
NET_TEST_1,NET_5U69,Design_2,0.0121,1295.5241,853.9757,15.8
NET_TEST_1,NET_3JWI,Design_7,0.0106,1220.6602,708.1015,7.7
NET_TEST_1,NET_FVK3,Design_3,0.0104,1293.5548,873.6468,15.7
NET_TEST_1,NET_TIY8,Design_3,0.01,1174.2923,878.6521,16.0
NET_TEST_1,NET_UZFM,Design_3,0.0099,1233.8649,899.7212,14.9
NET_TEST_1,NET_EF0P,Design_3,0.0095,1337.8517,789.2315,19.1
NET_TEST_1,NET_JSY9,Design_5,0.0093,1300.0614,716.3874,15.7
NET_TEST_1,NET_3JWI,Design_7,0.0093,1175.628,888.6953,11.6
NET_TEST_1,NET_J2XO,Design_8,0.0093,1220.9595,694.7184,10.5
NET_TEST_1,NET_ZJ4R,Design_10,0.0093,1337.8861,780.6712,3.2
NET_TEST_1,NET_LBME,Design_3,0.0092,1138.6932,850.0286,19.5
NET_TEST_1,NET_DF91,Design_2,0.0088,1331.7927,853.6012,2.9
NET_TEST_1,NET_DAUG,Design_2,0.0088,1283.2677,698.3051,8.0
NET_TEST_1,NET_WJXZ,Design_2,0.0085,1145.601,723.6321,13.6
NET_TEST_1,NET_D6A6,Design_7,0.0082,1115.6528,772.3257,19.5
NET_TEST_1,NET_MVEH,Design_4,0.0081,1353.4479,771.3412,8.2
NET_TEST_1,NET_VJNW,Design_2,0.008,1155.8912,896.5464,7.0
NET_TEST_1,NET_ZJ4R,Design_10,0.008,1148.6806,889.5221,8.0
NET_TEST_1,NET_VQ9A,Design_9,0.0078,1323.2786,890.1976,2.7
NET_TEST_1,NET_16HM,Design_5,0.0077,1130.5756,723.7937,3.3
NET_TEST_1,NET_GAD4,Design_1,0.0076,1121.7898,866.0618,17.3
NET_TEST_1,NET_CA7K,Design_9,0.0074,1109.8466,849.237,7.7
NET_TEST_1,NET_OV0R,Design_3,0.0072,1122.6673,882.5938,8.8
NET_TEST_1,NET_DKBN,Design_4,0.0069,1125.6593,893.9628,8.9
NET_TEST_1,NET_GLAL,Design_9,0.0069,1377.7189,799.6351,5.7
NET_TEST_1,NET_OV0R,Design_3,0.0065,1219.5802,648.927,10.7
NET_TEST_1,NET_Q2DC,Design_6,0.0064,1377.0374,859.8666,2.8
NET_TEST_1,NET_DAUG,Design_2,0.0062,1085.3815,857.5728,6.4
NET_TEST_1,NET_AMAL,Design_4,0.0061,1262.8963,639.2266,6.2
NET_TEST_1,NET_JQR1,Design_9,0.006,1081.3632,736.6302,7.4
NET_TEST_1,NET_LBME,Design_3,0.0059,1086.9801,715.046,13.7
NET_TEST_1,NET_UKQT,Design_3,0.0059,1396.7201,839.7433,16.2
NET_TEST_1,NET_EO9Z,Design_6,0.0059,1401.3364,780.9328,4.2
NET_TEST_1,NET_KE9Y,Design_8,0.0058,1306.1377,646.2468,6.4
NET_TEST_1,NET_ZJ4R,Design_10,0.0058,1198.3325,631.762,18.2
NET_TEST_1,NET_UKQT,Design_3,0.0057,1184.2968,634.3433,3.7
NET_TEST_1,NET_ZFOW,Design_6,0.0057,1389.4878,881.2878,15.9
NET_TEST_1,NET_D6A6,Design_7,0.0057,1065.6418,757.6229,2.3
NET_TEST_1,NET_GW5C,Design_7,0.0056,1400.0353,737.9415,3.6
NET_TEST_1,NET_VQ9A,Design_9,0.0056,1410.7674,826.5284,9.1
NET_TEST_1,NET_0VCW,Design_10,0.0056,1164.1481,635.2013,12.9
NET_TEST_1,NET_3JWI,Design_7,0.0055,1293.0421,630.8492,4.9
NET_TEST_1,NET_VQ9A,Design_9,0.0055,1349.1482,661.6669,10.7
NET_TEST_1,NET_5U69,Design_2,0.0054,1295.0943,624.792,19.8
NET_TEST_1,NET_5U69,Design_2,0.0053,1146.6746,635.6995,6.2
NET_TEST_1,NET_EO9Z,Design_6,0.0053,1074.2448,898.9344,13.3
NET_TEST_1,NET_GW5C,Design_7,0.0053,1054.3343,859.8419,17.5
NET_TEST_1,NET_FMHB,Design_1,0.0052,1301.9618,622.4474,13.2
NET_TEST_1,NET_I0JS,Design_2,0.0052,1072.7716,696.8687,3.7
NET_TEST_1,NET_QJTY,Design_5,0.0052,1239.593,607.6187,2.2
NET_TEST_1,NET_KE9Y,Design_8,0.0051,1428.6469,779.68,3.1
NET_TEST_1,NET_A2SI,Design_9,0.0051,1057.4821,885.8504,11.2
NET_TEST_1,NET_7YGN,Design_4,0.005,1434.2781,816.7942,14.0
NET_TEST_1,NET_NCG3,Design_3,0.0049,1343.1529,629.9519,12.3
NET_TEST_1,NET_E3GE,Design_5,0.0049,1216.7912,597.5872,11.9
NET_TEST_1,NET_QJTY,Design_5,0.0048,1043.1063,719.9926,15.9
NET_TEST_1,NET_MODF,Design_10,0.0048,1099.33,643.617,3.0
NET_TEST_1,NET_D6A6,Design_7,0.0047,1289.9733,596.068,19.0
NET_TEST_1,NET_3YO9,Design_9,0.0047,1434.4563,737.1559,19.6
NET_TEST_1,NET_CA7K,Design_9,0.0047,1434.5186,864.9325,6.0
